"chain_number","name"
"60_AROI_Mak_Mak","AROI Mak Mak [Non-Halal]"
"60_Chuck_Two_Sons_By_Sri_Melaka","Chuck Two Sons by Sri Melaka [Non-Halal]"
"60_Bens","Ben's - KLCC"
"60_WINS_Boulangerie","WINS Boulangerie"
"60_The_Midnight_Baker_Bakery_And_Cafe","The Midnight Baker Bakery And Cafe"
"60_Super_Saigon","Super Saigon - TTDI"
"60_Salad_Atelier","Salad Atelier Cafe - Sunway Velocity"
"60_Kingstreet_Cafe","Kingstreet Cafe"
"60_Jom_Makan","Jom Makan - Menara UOA Bangsar"
"60_Humble_Chef","Humble Chef - Bukit Damansara"
"60_SOULed_OUT","SOULed OUT - Hartamas"
"60_Restoran_Uncle_Rahmat","Restoran Uncle Rahmat"
"60_Ayam_Penyet_Best","Ayam Penyet Best - Alpha Angle"
"60_Face_To_Face_Noodle_House","Face To Face Noodle House - Tmn Megah [Non-Halal]"
"60_Super_Saigon","Super Saigon - Sri Hartamas"
"60_Pickle_And_Fig","Pickle & Fig - TTDI"
"60_Pastabox_KL","Pastabox.KL"
"60_Restoran_Yusoof_dan_Zakhir","Restoran Yusoof dan Zakhir"
"60_Kenny_Rogers_Roasters","Kenny Rogers Roasters - Sunway Velocity Mall"
"60_Wok_It","Wok It - Bangsar"
"60_Tasty_Porridge","Tasty Porridge - Taipan [Non-Halal]"
"60_Sanoook","Sanoook - Sunway Pyramid"
"60_Fat_Sunday","Fat Sunday"
"60_Jewel_In_The_Crown","Jewel In The Crown"
"60_Malgudi_Classic_Indian_Cuisine","Malgudi Classic Indian Cuisine"
"60_La_Juiceria_Superfoods","La Juiceria Superfoods Signature - Nadi Bangsar"
"60_Udang_King_Cafe","Udang King Cafe"
"60_Kenny_Rogers_Roasters","Kenny Rogers Roasters - AEON AU2"
"60_Beans_N_Beans_Korean_Dessert_Uptown","Beans n Beans Korean Dessert - Uptown"
"60_Mari_Makan","Mari Makan - Rasta TTDI"
"60_Kohi_Yatta","Kohi Yatta"
"60_Mix_Cafe","Mix Cafe"
"60_The_Butter_Chicken","The Butter Chicken - TTDI"
"60_SFG_Cafe","SFG Cafe"
"60_EAT21","EAT21 - Damansara Uptown"
"60_Burger_And_Sushi","Burger & Sushi"
"60_Brownies_Bar_By_The_Accidental_Bakers","Brownies Bar by The Accidental Bakers - Pavilion"
"60_Little_Susan","Little Susan"
"60_Sala_Kuala_Lumpur","Sala Kuala Lumpur - Hartamas"
"60_Lobbee_Thai_Connection","Lobbee - Thai Connection - Empire Damansara"
"60_Summer_Big_Cup","Summer Big Cup"
"60_A_Toast_Breakfast_And_Juice_Bar","A - Toast Breakfast & Juice Bar"
"60_Krispy_Kreme","Krispy Kreme - Pavilion"
"60_Kenny_Rogers_Roasters","Kenny Rogers Roasters - Jaya Shopping Centre"
"60_Kenny_Rogers_Roasters","Kenny Rogers Roasters - NU Sentral"
"60_Thai_Moment","Thai Moment - Setapak"
"60_Salad_Atelier","Salad Atelier Cafe - Starling Mall"
"60_Face_To_Face_Noodle_House","Face To Face Noodle House - Pudu [Non-Halal]"
"60_Nasi_Kerabu_Ayam_Madu_North_Kiara","Nasi Kerabu Ayam Madu North Kiara - Segambut"
"60_Restoran_D_Chow_Kit","Restoran D' Chow Kit"
"60_Lim_Fried_Chicken","Lim Fried Chicken - SS2"
"60_Bens","Ben's - BSC"
"60_Nasi_Lemak_Saleha","Nasi Lemak Saleha - Ampang"
"60_Hadhrami_House_Restaurant","Hadhrami House Restaurant - Subang Jaya"
"60_Nathans_Famous","Nathan's Famous - Paradigm"
"60_Hyderabad_Recipes","Hyderabad Recipes"
"60_Milligram_Cafe","Milligram Cafe [Non-Halal]"
"60_Jemi_Cafe","Jemi Cafe"
"60_Tasty_Porridge","Tasty Porridge - SS2 [Non-Halal]"
"60_H_And_H_Restaurant","H&H Restaurant"
"60_Tuts_Egyptian_Eatery","Tut's Egyptian Eatery - Neo Damansara"
"60_Inside_Scoop","Inside Scoop - Bangsar"
"60_Krispy_Kreme","Krispy Kreme - Avenue K"
"60_Samba_Brazilian_Steakhouse","Samba Brazilian Steakhouse"
"60_Restaurant_Ali_Bistro","Restaurant Ali Bistro"
"60_PappaRich","PappaRich - Sunway Putra"
"60_Street_Churros","Street Churros - MyTown"
"60_Sakae_Sushi","Sakae Sushi - 1Utama"
"60_Nasi_Lemak_Saleha","Nasi Lemak Saleha - Sri Rampai"
"60_KGB","KGB - Bangsar"
"60_Sakae_Sushi","Sakae Sushi - Sunway Velocity"
"60_Al_Amar_Pavilion","Al-Amar Pavilion - Pavillion"
"60_Restaurant_Syed_Bistro","Restaurant Syed Bistro - Petaling Jaya"
"60_Ayam_Penyet_Best","Ayam Penyet Best - AEON AU2"
"60_Pezzo","Pezzo - NU Sentral"
"60_Shihlin_Taiwan_Street_Snacks","Shihlin Taiwan Street Snacks - 1Utama"
"60_Taiwan_Recipe","Taiwan Recipe - Pearl Point Shopping Mall [Non-Halal]"
"60_La_Juiceria_Cold_Pressed_Detox_Bar","La Juiceria - Pavilion"
"60_Tujo","Tujo - Ascott"
"60_Shihlin_Taiwan_Street_Snacks","Shihlin Taiwan Street Snacks - The Gardens"
"60_The_Steam_Room","The Steam Room - HQ"
"60_Eatomo","Eatomo - Taman Danau Desa"
"60_Bens","Ben's - The Gardens"
"60_Salad_Atelier","Salad Atelier Cafe - Avenue K"
"60_1977_New_Ipoh_Chicken_Rice","1977 New Ipoh Chicken Rice - Petaling Street [Non-Halal]"
"60_Bedouin","Bedouin Arabian Cuisine"
"60_Nathans_Famous","Nathan's Famous - KLCC"
"60_Juan_Valdez_Cafe","Juan Valdez Cafe - MyTown"
"60_Humble_Chef","Humble Chef - Setapak"
