"chain_number","name"
"463_District_10_Bar_Restaurant","District 10 Bar & Restaurant - UE Square"
"465_Food_On_Fire","Food On Fire - Capital Square"
"466_Cucina","Cucina - Aperia Mall"
"464_EPIKebabs","EPIKebabs - Wilkie Rd"
"473_ERWINS_Gastrobar","ERWIN'S Gastrobar - Marina Bay Link Mall"
"480_DOCO","DOCO - International Plaza"
"481_Curious_Palette","Curious Palette - 64 Prinsep Street"
"482_Founder_Bak_Kut_Teh","Founder Bak Kut Teh - Bugis"
"485_Curry_Gardenn","Curry Gardenn - Turf Club"
"482_Founder_Bak_Kut_Teh","Founder Bak Kut Teh - Hotel Boss [Islandwide Delivery]"
"490_Don_Quijote_Spanish_Restaurant_Bar","Don Quijote Spanish Restaurant & Bar - Dempsey Hill [Islandwide Delivery]"
"494_DonBaasha_Restaurant","DonBaasha Restaurant - Street George's Road"
"497_Gems_Grill","Gem's Grill - Jurong West"
"01_Dong_Cheung_Kee","Dong Cheung Kee 传统海南鸡饭 - Hougang"
"501_Georges_Mad_Bar_Grill","Georges Mad Bar & Grill - 687 E Coast Road [Islandwide Delivery]"
"508_Fart_Tartz_Cafe","Fart Tartz Cafe - South Bridge"
"510_Geylang_Briyani_Stall","Geylang Briyani Stall - Geylang Serai Market and Food Centre"
"513_Gik_Gik_Heng_Prawn_Mee_Lor_Mee","Gik Gik Heng Prawn Mee & Lor Mee - Ang Mo Kio Avenue 10"
"515_Fragrant_Wok","Fragrant Wok - Hougang [Islandwide Delivery]"
"517_HeeTea","HEETEA - Chinatown"
"541_Hua_Zai_Roasted_Duck","Hua Zai Roasted Duck - Bishan 514A"
"01_thai_wok_restaurant","Thai Wok Restaurant - Cuppage Road"
"526_Hei_Lun_Shi_Tang","Hei Lun Shi Tang - Queensway Shopping Centre"
"528_GRUB","GRUB - Ang Mo Kio Avenue 1"
"541_Hua_Zai_Roasted_Duck","Hua Zai Roasted Duck - Clementi"
"538_Heng_Heng_145","Heng Heng 145 - Bukit Timah Market"
"546_Herbal_Soup","Herbal Soup - Galaxis"
"541_Hua_Zai_Roasted_Duck","Hua Zai Roasted Duck - Jurong East"
"548_GoGo_Franks","GoGo Franks - Jurong"
"549_Guzman_Y_Gomez","Guzman Y Gomez - Mapletree Business City"
"2363_IndoChili","IndoChili - Science Park"
"549_Guzman_Y_Gomez","Guzman Y Gomez - Northpoint"
"559_Hi_Tea_Singapore","Hi Tea Singapore"
"2363_IndoChili","IndoChili - Guoco Tower"
"549_Guzman_Y_Gomez","Guzman Y Gomez - Star Vista"
"563_Himalaya_Kitchen","Himalaya Kitchen - 518 Macpherson Road"
"549_Guzman_Y_Gomez","Guzman Y Gomez - Guoco Tower"
"565_Inle_Myanmar","Inle Myanmar - Peninsula Plaza"
"567_Hoho_Korean_Restaurant","Hoho Korean Restaurant - Clementi Street  12"
"571_Gyoza_No_Ohsho","Gyoza No Ohsho - Cuppage Plaza"
"1611_Jewel_Coffee","Jewel Coffee - SBF Centre"
"578_Habibs_Express","Habib's Express - Clementi West Street 2"
"582_Home_of_Seafood","Home Of Seafood - Joo Chiat Place [Islandwide Delivery]"
"583_Islamic_Seafood_Paradise","Islamic Seafood Paradise - Yishun Ave 5"
"1611_Jewel_Coffee","Jewel Coffee - Guoco Tower"
"587_Jewel_of_India","Jewel of India - 11 Sam Leong Road"
"01_Hai_Kee_Soy_Sauce_Chicken","Hai Kee Soy Sauce Chicken - Bedok North Street 1"
"595_Ji_De_Chi","Ji De Chi - Boon Lay"
