"chain_number","name"
"KuyaJRestaurant","Kuya J's Restaurant - SM Megamall"
"Taters","Taters - Robinsons Place Manila"
"Banapple","Banapple - Katipunan Too"
"","Seattle's Best Coffee - Taft"
"HolyCow","Holy Cow! - SM Mall of Asia"
"Snakyard","Snakyard - J Centre Mall"
"","Seattle's Best Coffee - Matalino"
"ToriIchiYakitoriandBar","Tori Ichi Yakitori and Bar - SM Mall of Asia"
"Tiktilaok","Tiktilaok! - Piazza Elesia"
"NorthPark","North Park - Alabang Town Center"
"NorthPark","North Park - South Supermarket Alabang"
"SaladStop","SaladStop! - Alabang Town Center"
"KanzenSushiRoll","Kanzen Sushi Roll - Lamuan Malanday"
"MuvanzPocherohanAndSeafood","Muvanz Pocherohan And Seafood - Century Plaza Commercial Complex"
"KanzenSushiRoll","Kanzen Sushi Roll - Cubao"
"FamousBelgianWaffles","Famous Belgian Waffles - SM Mall of Asia"
"BlakesWingsSteaks","Blake's Wings & Steaks - Gil Fernando Avenue"
"IkkoushaRamen","Ikkousha Ramen - JY Square Mall"
"Kureji","Kureji - Ayala Malls Vertis North"
"BonAppeteaTeaBar","Bon Appetea Tea Bar - Better Living"
"FOODQABJ_PH_NamisSeaResto","FOODQA-BJ_PH_Nami's Sea Resto"
"YabuHouseofKatsu","Yabu: House of Katsu - Robinsons Place Manila"
"AuntieAnnes","Auntie Anne's - SM Megamall"
"AuntieAnnes","Auntie Anne's - UP Town Center"
"Turks","Turks - Dona Soledad Bicutan"
"Yayoi","Yayoi - Megamall"
"Turks","Turks - Alphaland Southgate"
"Turks","Turks - Shell Magallanes"
"Turks","Turks - SMDC Sun Mall"
"Turks","Turks - Eastwood Citywalk 2"
"AuntieAnnes","Auntie Anne's - Gateway Mall"
"AuntieAnnes","Auntie Anne's - Ayala Malls the 30th"
"Turks","Turks - Ayala Circuit Lane Makati"
"FamousBelgianWaffles","Famous Belgian Waffles - SM City Sta Mesa"
"Turks","Turks - SM Fairview"
"Turks","Turks - Park Mall"
"Turks","Turks - UST Dapitan"
"YiFangTaiwanFruitTea","Yi Fang Taiwan Fruit Tea - Wumaco Building"
"YiFangTaiwanFruitTea","Yi Fang Taiwan Fruit Tea - Ayala Malls The 30th"
"AuntieAnnes","Auntie Anne's - Glorietta 4"
